id,value,,,,,,,,,,,,,,lat2,long2
Faggio,27,,,,,,,,,,,,,,"3,907,335,278","1,663,663,611"
Faggio,36,,,,,,,,,,,,,,"3,907,261,111","1,663,846,944"
Abete bianco,34,,,,,,,,,,,,,,"390,686","166,402"
Bagolaro,16,,,,,,,,,,,,,,"3,901,758,333","1,678,396,111"
Castagno,27,,,,,,,,,,,,,,"3,904,086,389","1,672,285,556"
Platano orientale,21,,,,,,,,,,,,,,"38,823,075","1,633,251,944"
Castagno,19,,,,,,,,,,,,,,"3,903,226,389","1,649,020,556"
Abete bianco,40,,,,,,,,,,,,,,"39,095","166,161"
Pino laricio,23,,,,,,,,,,,,,,"3,910,277,778","1,657,996,667"
Faggio,32,,,,,,,,,,,,,,"391,133","165,727"
Abete bianco,38,,,,,,,,,,,,,,"3,913,199,167","1,664,008,611"
Faggio,30,,,,,,,,,,,,,,"3,913,301,667","1,664,080,278"
Abete bianco,33,,,,,,,,,,,,,,"3,913,427,778","1,663,694,444"
Abete bianco,25,,,,,,,,,,,,,,"3,913,276,667","1,663,888,056"
Pero selvatico,6,,,,,,,,,,,,,,"3,992,271,667","1,647,375,556"
Pioppo canescente,21,,,,,,,,,,,,,,"3,990,337,778","1,648,389,722"
Pino d'Aleppo,18,,,,,,,,,,,,,,"3,990,970,833","1,648,669,722"
Sequoia sempreverde,21,,,,,,,,,,,,,,"3,923,215","1,647,876,111"
Sequoia gigante,25,,,,,,,,,,,,,,"3,925,009,167","1,640,126,389"
Abete del Caucaso,28,,,,,,,,,,,,,,"390,025","1,640,138,056"
Castagno,26,,,,,,,,,,,,,,"3,919,447,778","1,611,277,778"
Leccio,24,,,,,,,,,,,,,,"3,968,440,556","1,592,998,333"
Farnia,16,,,,,,,,,,,,,,"3,981,671,667","1,621,107,778"
Pino loricato,12,,,,,,,,,,,,,,"3,989,978,889","1,618,483,056"
Roverella,15,,,,,,,,,,,,,,"3,984,535,556","1,635,979,167"
Frassino maggiore,18,,,,,,,,,,,,,,"3,983,345,833","1,636,389,167"
Pino loricato,15,,,,,,,,,,,,,,"3,990,472,222","1,622,333,333"
Faggio,39,,,,,,,,,,,,,,"3,948,753,056","1,607,136,389"
Castagno,15,,,,,,,,,,,,,,"3,952,236,111","1,652,054,167"
Castagno,28,,,,,,,,,,,,,,"3,953,834,444","1,656,283,333"
Olivo,18,,,,,,,,,,,,,,"3,961,031,944","1,663,519,167"
Castagno,12,,,,,,,,,,,,,,"39,571,075","1,603,302,778"
Castagno,15,,,,,,,,,,,,,,"3,957,355,278","1,602,478,611"
Castagno,12,,,,,,,,,,,,,,"3,957,389,722","1,602,470,833"
Castagno,15,,,,,,,,,,,,,,"39,722,825","1,590,639,722"
Castagno,15,,,,,,,,,,,,,,"39,722","159,063"
Castagno,20,,,,,,,,,,,,,,"3,972,278,889","1,590,641,667"
Roverella,20,,,,,,,,,,,,,,"3,997,458,611","1,599,355"
Pino laricio,28,,,,,,,,,,,,,,"3,943,444,444","1,659,972,222"
Pino laricio,31,,,,,,,,,,,,,,"3,939,761,111","1,659,897,778"
Pino laricio,21,,,,,,,,,,,,,,"3,938,666,667","1,662,722,222"
Castagno,20,,,,,,,,,,,,,,"3,915,303,889","1,637,056,389"
Roverella,20,,,,,,,,,,,,,,"3,917,194,722","1,631,014,444"
Cedro dell'Himalaya,24,,,,,,,,,,,,,,"3,984,162,778","1,613,761,667"
Pino loricato,16,,,,,,,,,,,,,,"3,989,780,278","1,617,138,889"
Faggio,19,,,,,,,,,,,,,,"3,926,959,444","1,653,574,167"
Rovere,27,,,,,,,,,,,,,,"3,918,784,444","1,631,988,889"
Rovere,24,,,,,,,,,,,,,,"3,918,825","1,640,945,833"
Olivo,7,,,,,,,,,,,,,,"3,981,128,611","1,616,440,833"
Olivo,6,,,,,,,,,,,,,,"3,981,051,667","1,616,137,778"
Castagno,16,,,,,,,,,,,,,,"3,930,505,278","1,665,679,444"
Platano orientale,32,,,,,,,,,,,,,,"3,913,744,722","1,611,226,944"
Frassino meridionale,18,,,,,,,,,,,,,,"3,960,173,333","1,630,785,833"
Pino loricato,17,,,,,,,,,,,,,,"3,965,138,889","1,592,083,333"
Pioppo nero,12,,,,,,,,,,,,,,"3,927,746,944","1,634,597,222"
Pino laricio,14,,,,,,,,,,,,,,"3,937,416,667","1,658,138,889"
Pino laricio,43,,,,,,,,,,,,,,"3,932,462,778","1,646,716,944"
Acero di monte,18,,,,,,,,,,,,,,"3,932,514,167","1,652,987,222"
Abete bianco,15,,,,,,,,,,,,,,"3,930,576,944","1,649,897,778"
Olmo campestre,8,,,,,,,,,,,,,,"3,946,548,056","1,694,613,889"
Carrubo,12,,,,,,,,,,,,,,"3,987,031,667","1,652,627,778"
Roverella,12,,,,,,,,,,,,,,"39,892,125","1,649,427,778"
Pino d'Aleppo,19,,,,,,,,,,,,,,"3,988,681,389","1,654,781,944"
Frassino maggiore,19,,,,,,,,,,,,,,"3,940,402,222","17,080,475"
Eucalipto rostrato,22,,,,,,,,,,,,,,"3,935,777,222","1,712,508,889"
Acero di monte,24,,,,,,,,,,,,,,"391,636","166,775"
Rovere,24,,,,,,,,,,,,,,"3,916,333,333","1,667,833,333"
Fico magnolioide,15,,,,,,,,,,,,,,"3,908,249,444","1,713,093,056"
Roverella,21,,,,,,,,,,,,,,"3,945,052,778","1,703,425"
Cedro del Libano,22,,,,,,,,,,,,,,"3,908,119,722","1,678,753,611"
Sughera,17,,,,,,,,,,,,,,"3,908,775,556","1,679,833,611"
Faggio,37,,,,,,,,,,,,,,"3,909,777,778","1,669,813,333"
Abete bianco,33,,,,,,,,,,,,,,"3,911,078,333","1,666,895,556"
Pino laricio,37,,,,,,,,,,,,,,"3,912,881,944","1,667,413,611"
Pino laricio,30,,,,,,,,,,,,,,"3,912,906,111","16,706"
Olmo campestre,26,,,,,,,,,,,,,,"3,913,413,889","1,686,960,278"
Pino domestico,24,,,,,,,,,,,,,,"3,918,010,278","1,687,268,611"
Abete bianco,26,,,,,,,,,,,,,,"3,810,880,556","1,586,069,444"
Ontano nero,20,,,,,,,,,,,,,,"3,850,218,333","1,639,793,611"
Abete bianco,25,,,,,,,,,,,,,,"3,811,888,889","1,586,638,889"
Sequoia sempreverde,34,,,,,,,,,,,,,,"38,35","1,608,333,333"
Pino strobo,35,,,,,,,,,,,,,,"3,834,997,778","1,608,342,778"
Pioppo nero,27,,,,,,,,,,,,,,"3,801,722,222","1,588,972,222"
Roverella,25,,,,,,,,,,,,,,"3,822,333,333","1,570,944,444"
Faggio,23,,,,,,,,,,,,,,"3,827,809,722","1,605,000,556"
Pino domestico,25,,,,,,,,,,,,,,"3,829,697,778","1,598,337,222"
Abete bianco,35,,,,,,,,,,,,,,"3,815,649,722","1,583,314,167"
Faggio,25,,,,,,,,,,,,,,"3,813,839,722","1,583,544,722"
Faggio,20,,,,,,,,,,,,,,"3,815,161,111","15,831,775"
Pino laricio,20,,,,,,,,,,,,,,"38,150,475","1,583,212,222"
Eucalitto rostrato,30,,,,,,,,,,,,,,"3,816,340,556","1,580,771,111"
Platano comune,28,,,,,,,,,,,,,,"3,815,305,556","1,580,416,667"
Ontano nero,18,,,,,,,,,,,,,,"3,812,111,111","1,590,472,222"
Rovere,20,,,,,,,,,,,,,,"3,811,559,722","15,953,125"
Cerro-Roverella,17,,,,,,,,,,,,,,"3,812,508,611","1,595,796,944"
Cerro-Roverella,13,,,,,,,,,,,,,,"3,811,667,778","15,965"
Cerro-Roverella,20,,,,,,,,,,,,,,"3,811,794,722","1,596,240,833"
Pino laricio,25,,,,,,,,,,,,,,"3,812,658,889","1,595,151,667"
Rovere meridionale,22,,,,,,,,,,,,,,"3,812,351,111","1,595,479,722"
Olmo campestre,10,,,,,,,,,,,,,,"380,109","1,583,310,833"
Castagno,14,,,,,,,,,,,,,,"3,817,807,778","1,602,625,556"
Castagno,16,,,,,,,,,,,,,,"3,817,498,611","1,602,174,167"
Tasso,15,,,,,,,,,,,,,,"3,822,270,278","1,600,266,389"
Abete bianco,30,,,,,,,,,,,,,,"3,822,224,444","1,600,285,278"
Abete bianco,30,,,,,,,,,,,,,,"3,822,354,722","1,599,486,944"
Pino laricio,30,,,,,,,,,,,,,,"3,820,194,444","1,585,708,611"
Libocedro,25,,,,,,,,,,,,,,"3,816,835,278","15,838,475"
Abete bianco,25,,,,,,,,,,,,,,"3,817,451,667","1,586,488,611"
Quercia castagnara,20,,,,,,,,,,,,,,"3,827,592,222","1,628,541,389"
Roverella,19,,,,,,,,,,,,,,"3,827,051,389","1,628,720,278"
Olivo,27,,,,,,,,,,,,,,"383,325","1,599,305,556"
Abete bianco,32,,,,,,,,,,,,,,"3,854,706,389","1,628,926,667"
Castagno,26,,,,,,,,,,,,,,"3,847,446,389","16,330,625"
Abete bianco,35,,,,,,,,,,,,,,"3,851,116,667","1,629,201,667"
Tasso,20,,,,,,,,,,,,,,"38,551,375","1,630,918,056"
Abete bianco,33,,,,,,,,,,,,,,"3,856,085","1,631,618,333"
Abete bianco,30,,,,,,,,,,,,,,"3,855,550,556","1,633,625,556"
Abete bianco,45,,,,,,,,,,,,,,"3,853,783,611","16,345,025"
Roverella,21,,,,,,,,,,,,,,"3,861,429,444","1,634,830,556"